file_path,file_name,source,split,class,label_encoded
../../data/spaete_splits/only_uu/valid/nb/NB219a.jpg,NB219a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB177a.jpg,NB177a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB242a.jpg,NB242a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB254a.jpg,NB254a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB195a.jpg,NB195a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB26a.jpg,NB26a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB134a.jpg,NB134a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB33a.jpg,NB33a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB132a.jpg,NB132a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB109a.jpg,NB109a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB32a.jpg,NB32a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB23a.jpg,NB23a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB35a.jpg,NB35a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB170a.jpg,NB170a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB167a.jpg,NB167a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB4a.jpg,NB4a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB59a.jpg,NB59a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB141a.jpg,NB141a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB193a.jpg,NB193a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/nb/NB138a.jpg,NB138a.jpg,UKU_old_split,test,H,3
../../data/spaete_splits/only_uu/valid/covid/C36a.jpg,C36a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C63a.jpg,C63a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C59a.jpg,C59a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C17a.jpg,C17a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C99a.jpg,C99a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C102a.jpg,C102a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C69a.jpg,C69a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C4a.jpg,C4a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C46a.jpg,C46a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C34a.jpg,C34a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C68a.jpg,C68a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C31a.jpg,C31a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C48a.jpg,C48a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C72a.jpg,C72a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C18a.jpg,C18a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C103a.jpg,C103a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C60a.jpg,C60a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C15a.jpg,C15a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C51a.jpg,C51a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/valid/covid/C50a.jpg,C50a.jpg,UKU_old_split,test,C,1
../../data/spaete_splits/only_uu/train/normal/NB191a.jpg,NB191a.jpg,UKU_old_split,train,H,3
../../data/spaete_splits/only_uu/train/normal/NB67a.jpg,NB67a.jpg,UKU_old_split,train,H,3
../../data/spaete_splits/only_uu/train/normal/NB184a.jpg,NB184a.jpg,UKU_old_split,train,H,3
../../data/spaete_splits/only_uu/train/normal/NB211a.jpg,NB211a.jpg,UKU_old_split,train,H,3
